year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,4,18,-1,0.5,1.5533973,0,0.77669865,19.056726,18.35474,0,23,23.11
2023,1,4,18.5,-0.991444861,0.565263096,1.6403399,0,0.8201699,18.50397,17.67209,0,23,23.17
2023,1,4,19,-0.965925826,0.629409523,1.6191083,0,0.80955416,18.543177,17.564795,0,23.03,23.38
2023,1,4,19.5,-0.923879533,0.691341716,1.654667,0,0.8273335,18.473501,17.509676,0,23.01,23.23
2023,1,4,20,-0.866025404,0.75,0,0,0,21.593351,22.181335,0,22.72,23.46
2023,1,4,20.5,-0.79335334,0.804380715,0,0,0,21.159218,22.073853,0,21.86,23.46
2023,1,4,21,-0.707106781,0.853553391,0,0,0,20.814829,22.03491,0,21.79,23.07
2023,1,4,21.5,-0.608761429,0.89667667,0,0,0,20.486988,22.02351,0,22.05,23.19
2023,1,4,22,-0.5,0.933012702,0,0,0,20.27794,22.064854,0,21.79,22.92
2023,1,4,22.5,-0.382683432,0.961939766,0,0,0,20.064678,22.052704,0,21.79,22.65
2023,1,4,23,-0.258819045,0.982962913,0,0,0,19.91505,22.043373,0,21.63,21.95
2023,1,4,23.5,-0.130526192,0.995722431,0,0,0,19.84884,22.070408,0,21.51,22.04
2023,1,5,0,0,1,0,0,0,19.654127,21.856256,0,17.68,21.27
2023,1,5,0.5,0.130526192,0.995722431,0,0,0,19.686447,21.857203,0,20,22.8
2023,1,5,1,0.258819045,0.982962913,0,0,0,19.820358,21.919409,0,20,21.33
2023,1,5,1.5,0.382683432,0.961939766,0,0,0,20.146215,22.152775,0,17.65,21.21
2023,1,5,2,0.5,0.933012702,0,0,0,20.516546,22.352886,0,17.67,21.28
2023,1,5,2.5,0.608761429,0.89667667,0,0,0,20.882483,22.514961,0,15,21.67
2023,1,5,3,0.707106781,0.853553391,0,0,0,21.19118,22.543274,0,11.73,21.83
2023,1,5,3.5,0.79335334,0.804380715,0,0,0,21.288813,22.44815,0,11.73,21.74
2023,1,5,4,0.866025404,0.75,1.5439901,0,0.77199507,19.359976,18.96651,0,12.1,21.81
2023,1,5,4.5,0.923879533,0.691341716,1.5947123,0,0.7973561,19.551994,19.227285,0,11.73,21.61
2023,1,5,5,0.965925826,0.629409523,1.6474824,0,0.8237412,19.533571,19.63621,0,15.01,21.52
2023,1,5,5.5,0.991444861,0.565263096,1.655741,0,0.8278705,19.576628,20.063951,0,18,21.31
2023,1,5,6,1,0.5,1.663984,0,0.831992,20.121675,20.967878,0,19.85,21.33
2023,1,5,6.5,0.991444861,0.434736904,1.6520407,0,0.82602036,20.624235,21.77955,0,21.35,22.02
2023,1,5,7,0.965925826,0.370590477,1.6402633,0,0.82013166,21.116419,22.578327,0,22.3,22.33
2023,1,5,7.5,0.923879533,0.308658284,1.6259003,0,0.81295013,20.563627,22.25677,0.08066147,25.37,22.97
2023,1,5,8,0.866025404,0.25,1.6155515,0,0.80777574,21.277498,22.860851,0.149281497,25.83,23.25
2023,1,5,8.5,0.79335334,0.195619285,1.4194317,0,0.70971584,21.508324,22.70293,0.330080678,23.09,25.18
2023,1,5,9,0.707106781,0.146446609,1.1892018,0,0.5946009,21.896511,22.706636,0.468341058,22.3,23.28
2023,1,5,9.5,0.608761429,0.10332333,1.0306022,0,0.5153011,21.559332,22.447279,0.684378259,21.74,22.67
2023,1,5,10,0.5,0.066987298,0.8723357,0,0.43616784,21.082987,21.988071,0.777696447,19.08,20.52
2023,1,5,10.5,0.382683432,0.038060234,0.8074336,0,0.4037168,20.742083,21.69692,0.981451707,21.3,21.48
2023,1,5,11,0.258819045,0.017037087,0.74204373,0,0.37102187,20.358204,21.230864,1.027606829,19.01,19.15
2023,1,5,11.5,0.130526192,0.004277569,0.7179909,0,0.35899544,20.11175,21.047314,0.983481083,18.32,16.31
2023,1,5,12,1.22E-16,0,0.7059717,0,0.35298586,19.800695,20.658512,1.029094995,17.07,7.92
2023,1,5,12.5,-0.130526192,0.004277569,0.6933789,0,0.34668946,19.773722,20.796535,1.029075401,13.35,7.92
2023,1,5,13,-0.258819045,0.017037087,0.6777246,0,0.3388623,19.700895,20.75272,0.889672856,13.05,7.92
2023,1,5,13.5,-0.382683432,0.038060234,0.67069435,0,0.33534718,19.700548,20.633516,1.013347185,17.62,22.54
2023,1,5,14,-0.5,0.066987298,0.66203594,0,0.33101797,19.655952,20.342968,0.867759151,20,22.55
2023,1,5,14.5,-0.608761429,0.10332333,0.66927314,0,0.33463657,19.873274,20.477268,0.737390707,20,22.24
2023,1,5,15,-0.707106781,0.146446609,0.7006556,0,0.3503278,20.021534,20.410343,0.670496139,20,23.4
2023,1,5,15.5,-0.79335334,0.195619285,0.78772783,0,0.39386392,20.650785,20.60028,0.507581581,20,22.46
2023,1,5,16,-0.866025404,0.25,0.8019711,0,0.40098554,21.283522,20.823505,0.363563805,21.74,19.23
2023,1,5,16.5,-0.923879533,0.308658284,0.84143376,0,0.42071688,20.80481,20.41274,0.187129902,23.07,29.66
2023,1,5,17,-0.965925826,0.370590477,0.8795732,0,0.4397866,20.26529,19.98059,0.041421915,24.41,26.07
2023,1,5,17.5,-0.991444861,0.434736904,0.9502982,0,0.4751491,19.7409,19.076868,0.020882349,26.34,23.8
2023,1,5,18,-1,0.5,1.0250317,0,0.51251584,19.40117,18.339394,0,26.68,24.34
2023,1,5,18.5,-0.991444861,0.565263096,1.0775255,0,0.53876275,19.018072,17.93729,0,25.95,26.49
2023,1,5,19,-0.965925826,0.629409523,1.1300192,0,0.5650096,18.779942,17.78985,0,25,23.82
2023,1,5,19.5,-0.923879533,0.691341716,1.1788952,0,0.5894476,18.613436,17.65405,0,24.41,25.5
2023,1,5,20,-0.866025404,0.75,0,0,0,21.474466,22.022457,0,24.1,29.35
2023,1,5,20.5,-0.79335334,0.804380715,0,0,0,21.004276,21.866915,0,23.01,29.46
2023,1,5,21,-0.707106781,0.853553391,0,0,0,20.632944,21.797806,0,21.86,28.87
2023,1,5,21.5,-0.608761429,0.89667667,0,0,0,20.317118,21.803394,0,21.95,24.53
2023,1,5,22,-0.5,0.933012702,0,0,0,20.102186,21.852571,0,21.29,25.64
2023,1,5,22.5,-0.382683432,0.961939766,0,0,0,19.925274,21.877419,0,21.86,23.65
2023,1,5,23,-0.258819045,0.982962913,0,0,0,19.826952,21.929716,0,21.86,22.96
2023,1,5,23.5,-0.130526192,0.995722431,0,0,0,19.649572,21.804373,0,21.74,23.07
2023,1,6,0,0,1,0,0,0,19.527754,21.675207,0,19,22.54
2023,1,6,0.5,0.130526192,0.995722431,0,0,0,19.590395,21.719593,0,21.69,22.24
2023,1,6,1,0.258819045,0.982962913,0,0,0,19.75644,21.822477,0,20.72,22.97
2023,1,6,1.5,0.382683432,0.961939766,0,0,0,20.021338,21.999512,0,20.45,22.53
