year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,20,0,14,0,2,0,7.01
2019,11,20,0.5,14,0,2,0,6.97
2019,11,20,1,13.4,0,2,0,6.97
2019,11,20,1.5,13.4,0,2,0,7.01
2019,11,20,2,12.7,0,2,0,6.97
2019,11,20,2.5,12.7,0,2,0,7.01
2019,11,20,3,12.2,0,2,0,6.96
2019,11,20,3.5,12.2,0,2,0,6.96
2019,11,20,4,11.8,0,2,0,6.96
2019,11,20,4.5,11.8,0,2,0,6.96
2019,11,20,5,11.8,0,2,0,7.2
2019,11,20,5.5,11.8,0,2,0,7.2
2019,11,20,6,11.5,0,2,0,9.23
2019,11,20,6.5,11.5,0,2,-0.015,9.23
2019,11,20,7,11.6,0,2,0.02,9.37
2019,11,20,7.5,11.6,0,2,0.339,9.19
2019,11,20,8,12.6,0,2,0.537,7.96
2019,11,20,8.5,12.6,0,2,0.736,7.97
2019,11,20,9,13.4,0,2,0.914,7.11
2019,11,20,9.5,13.4,0,2,1.046,7.06
2019,11,20,10,14.7,0,2,1.134,6.62
2019,11,20,10.5,14.7,0,2,1.224,6.62
2019,11,20,11,15.5,0,2,1.295,6.52
2019,11,20,11.5,15.5,0,2,1.292,6.49
2019,11,20,12,15.2,0,2,1.277,6.18
2019,11,20,12.5,15.2,0,2,1.231,6.18
2019,11,20,13,15.4,0,2,1.164,6.68
2019,11,20,13.5,15.4,0,2,1.081,6.68
2019,11,20,14,15,0,2,0.932,8.86
2019,11,20,14.5,15,0,2,0.774,8.86
2019,11,20,15,14.4,0,2,0.591,9.58
2019,11,20,15.5,14.4,0,2,0.067,10.58
2019,11,20,16,13.6,0,4,0.035,13.08
2019,11,20,16.5,13.6,0,4,-0.002,13.08
2019,11,20,17,13.2,0,2,0,13.83
2019,11,20,17.5,13.2,0,2,0,13.83
2019,11,20,18,12.1,0,2,0,13.83
2019,11,20,18.5,12.1,0,2,0,13.83
2019,11,20,19,11.3,0,4,0,12.67
2019,11,20,19.5,11.3,0,4,0,12.67
2019,11,20,20,10.8,0,2,0,11.64
2019,11,20,20.5,10.8,0,2,0,11.64
2019,11,20,21,10.4,0,4,0,10.13
2019,11,20,21.5,10.4,0,4,0,9.91
2019,11,20,22,10.3,0,4,0,9.92
2019,11,20,22.5,10.3,0,4,0,9.61
2019,11,20,23,10,0,4,0,8.91
2019,11,20,23.5,10,0,4,0,8.91
2019,11,21,0,9.8,0,4,0,9.4
2019,11,21,0.5,9.8,0,4,0,9.4
2019,11,21,1,9.4,0,2,0,9.07
2019,11,21,1.5,9.4,0,2,0,9.07
2019,11,21,2,9.4,0,4,0,9.13
2019,11,21,2.5,9.4,0,4,0,9.13
2019,11,21,3,9.1,0,4,0,9.13
2019,11,21,3.5,9.1,0,4,0,9.13
2019,11,21,4,8.8,0,2,0,8.92
2019,11,21,4.5,8.8,0,2,0,8.92
2019,11,21,5,8.4,0,2,0,8.91
2019,11,21,5.5,8.4,0,2,0,9.04
2019,11,21,6,8.5,0,2,0,9.35
2019,11,21,6.5,8.5,0,2,-0.015,10.11
2019,11,21,7,8.4,0,2,0.046,9.33
2019,11,21,7.5,8.4,0,2,0.111,9.33
2019,11,21,8,8.9,0,2,0.53,7.76
2019,11,21,8.5,8.9,0,2,0.729,7.76
2019,11,21,9,11.2,0,2,0.874,7.19
2019,11,21,9.5,11.2,0,2,1.008,7.11
2019,11,21,10,12.8,0,2,1.109,6.76
2019,11,21,10.5,12.8,0,2,1.191,6.76
2019,11,21,11,13.3,0,2,1.237,6.65
2019,11,21,11.5,13.3,0,2,1.231,6.65
2019,11,21,12,14.9,0,2,1.24,6.26
2019,11,21,12.5,14.9,0,2,1.183,6.26
2019,11,21,13,14.9,0,2,1.116,6.79
2019,11,21,13.5,14.9,0,2,1.016,6.91
2019,11,21,14,15.2,0,2,0.88,7.77
2019,11,21,14.5,15.2,0,2,0.719,7.77
2019,11,21,15,15.2,0,2,0.54,9.26
2019,11,21,15.5,15.2,0,2,0.345,9.87
2019,11,21,16,14.3,0,2,0.144,10.65
